Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
41,1,1,1,1,4,888,12,2,bad
37,1,2,1,0,0,10222,48,6,good
28,2,2,1,1,4,4221,30,1,good
41,1,2,1,1,4,6361,18,5,good
23,1,2,3,1,3,1297,12,6,good
23,1,2,1,0,1,900,12,2,bad
50,1,2,1,1,0,2241,21,5,good
35,1,3,1,1,4,1050,6,5,good
50,2,1,1,1,3,1047,6,4,good
27,1,3,1,1,0,6314,24,8,good
34,1,2,1,3,4,3496,30,5,good
27,2,2,1,1,0,3609,48,1,good
43,1,2,3,1,1,4843,12,2,bad
47,1,2,1,1,3,3017,30,6,good
27,1,1,1,4,0,4139,24,1,good
31,1,2,1,4,0,5742,36,1,good
42,1,3,1,1,0,10366,60,2,good
24,1,2,1,2,0,2080,6,2,good
41,1,1,1,2,0,2580,21,1,bad
26,2,3,3,1,0,4530,30,6,good
33,1,2,1,1,0,5150,24,5,good
24,1,2,1,4,4,5595,72,6,bad
64,1,1,3,1,1,2384,24,6,good
26,2,2,1,1,0,1453,18,6,good
56,2,2,1,1,0,1538,6,4,good
37,1,2,2,0,0,2279,12,6,good
33,1,2,1,1,0,1478,15,6,good
47,1,2,2,1,0,5103,24,6,good
31,1,1,1,4,4,9857,36,1,good
34,1,2,2,0,0,6527,60,2,good
27,1,2,1,0,3,1347,10,6,good
30,1,2,2,4,4,2862,36,2,good
35,1,2,1,4,0,2753,9,6,good
31,1,2,1,3,1,3651,12,2,good
25,1,2,1,1,1,975,15,5,good
25,2,1,1,4,4,2631,15,7,good
29,1,2,1,4,4,2896,24,6,good
44,1,1,1,0,1,4716,6,2,good
28,1,2,1,1,0,2284,24,6,good
50,1,2,3,2,0,1236,6,2,good
29,1,2,1,1,4,1103,12,6,good
38,2,0,1,1,0,926,12,2,good
24,1,2,1,1,0,1800,18,6,good
40,1,3,3,1,3,1905,15,4,good
29,2,1,3,2,0,1123,12,5,bad
46,1,2,2,1,1,6331,48,2,bad
47,2,2,2,4,3,1377,24,6,good
41,1,2,1,4,4,2503,30,1,good
32,2,2,1,1,4,2528,27,1,good
35,2,2,2,2,0,5324,15,2,good
24,1,2,1,4,4,6560,48,2,bad
25,2,2,3,1,4,2969,12,5,bad
25,2,2,1,1,4,1206,9,6,good
37,1,1,1,1,4,2118,9,6,good
32,1,3,1,2,0,629,18,6,good
35,2,2,2,1,1,1198,6,4,bad
46,1,3,1,0,0,2476,21,2,good
25,1,1,1,1,1,1138,9,6,good
27,1,3,1,1,4,14027,60,2,bad
63,1,2,1,0,0,7596,30,2,good
40,1,2,1,0,0,3077,30,6,good
32,1,3,2,1,0,1505,18,6,good
31,1,2,1,0,3,3148,24,6,good
31,1,2,1,4,4,6148,20,2,good
34,1,3,1,1,3,1337,9,6,bad
24,2,2,3,3,4,433,6,4,bad
24,2,1,1,1,1,1228,12,2,bad
66,2,1,1,2,4,790,9,6,good
21,2,2,3,1,0,2570,27,2,bad
41,2,1,1,3,0,250,6,2,good
47,1,1,1,2,0,1316,15,6,good
25,2,2,3,1,1,1882,18,6,bad
59,2,2,3,1,4,6416,48,1,bad
36,1,2,1,3,3,1275,24,1,good
33,1,2,1,1,4,6403,24,6,good
21,1,1,3,1,1,1987,24,6,bad
44,2,1,1,1,4,760,8,6,good
28,2,2,3,3,0,2603,24,2,good
37,2,2,1,1,0,3380,4,2,good
29,2,0,1,0,4,3990,36,3,good
23,2,3,3,1,4,11560,24,2,bad
35,1,1,1,4,1,4380,18,2,good
45,1,3,1,1,0,6761,6,2,good
26,2,1,3,4,4,4280,30,1,bad
32,1,2,1,4,1,2325,24,2,good
23,1,1,1,1,4,1048,10,6,good
41,1,2,1,0,0,3160,21,6,good
22,1,2,1,2,1,2483,24,5,good
30,1,3,1,0,1,14179,39,5,good
28,1,1,1,1,1,1797,13,1,good
23,2,2,3,1,1,2511,15,2,good
37,2,1,1,1,1,1274,12,2,bad
26,1,2,1,0,0,5248,21,2,good
33,1,2,1,1,0,3029,15,2,good
49,2,2,1,1,1,428,6,5,good
23,2,1,1,1,1,976,18,2,bad
23,2,1,3,4,4,841,12,1,good
25,2,2,1,1,0,5771,30,6,good
55,1,2,2,3,0,1555,12,7,bad
32,2,2,3,0,1,1285,24,2,bad
74,1,0,1,1,3,1299,6,2,good
39,1,2,2,0,3,1271,15,6,bad
31,1,2,1,1,0,1393,24,2,good
35,1,2,1,1,1,691,12,2,bad
59,2,2,1,0,0,5045,15,2,good
24,2,2,3,1,1,2124,18,5,bad
24,1,1,1,1,1,2214,12,6,good
30,1,3,2,0,0,12680,21,2,bad
27,1,2,1,4,0,2463,24,2,good
40,1,1,1,1,4,1155,12,6,good
31,1,1,1,1,1,3108,30,5,bad
31,2,2,3,0,0,2901,10,2,good
28,1,2,3,1,4,3617,12,5,good
63,1,1,1,1,0,1655,12,6,good
26,2,2,3,0,1,2812,24,2,good
25,2,3,1,1,1,8065,36,4,bad
36,1,3,1,1,0,3275,21,2,good
52,1,2,1,4,0,2223,24,6,good
66,1,0,2,2,3,1480,12,2,good
25,2,2,3,0,1,1371,24,2,bad
37,1,2,1,1,0,3535,36,2,good
25,2,2,1,1,1,3509,18,6,good
38,1,3,1,3,0,5711,36,2,good
67,2,2,1,1,4,3872,18,7,good
25,1,2,1,1,4,4933,39,6,bad
60,1,2,1,3,0,1940,24,2,good
31,1,1,1,1,4,1410,12,4,good
23,2,1,1,4,4,836,12,2,bad
60,1,3,1,0,4,6468,20,2,good
35,1,1,1,3,4,1941,18,1,good
40,1,2,1,2,0,2675,22,6,good
38,1,2,1,0,0,2751,48,2,good
50,1,2,2,1,4,6224,48,4,bad
27,1,2,1,1,1,5998,40,4,bad
39,2,2,1,1,4,1188,21,1,bad
41,1,3,1,0,0,6313,24,2,good
27,1,2,1,0,0,1221,6,5,good
51,1,2,2,1,3,2892,24,5,good
32,1,2,3,2,0,3062,24,5,good
22,2,2,3,4,0,2301,9,5,good
51,1,2,2,0,1,7511,18,2,bad
22,2,1,3,1,0,1258,12,5,good
54,1,2,1,0,0,717,24,2,good
35,1,0,1,0,4,1549,9,2,good
54,1,2,2,1,0,1597,24,4,good
48,2,1,3,1,4,1795,18,6,good
24,2,2,1,1,1,4272,20,5,good
35,1,2,1,0,0,976,12,6,good
24,2,0,3,0,4,7472,12,2,good
24,1,2,1,1,1,9271,36,2,bad
26,1,1,1,1,4,590,6,6,good
65,1,2,1,0,0,930,12,6,good
55,1,3,2,1,4,9283,42,2,good
26,2,0,3,1,4,1778,15,2,bad
26,1,2,1,1,4,907,8,1,good
28,1,1,1,1,4,484,6,6,good
24,1,2,1,1,1,9629,36,2,bad
54,1,2,1,1,1,3051,48,3,bad
46,1,2,2,1,1,3931,48,2,bad
54,2,2,3,1,4,7432,36,2,good
62,1,2,1,2,0,1338,6,3,good
24,2,2,3,1,0,1554,6,6,good
43,1,3,1,1,1,15857,36,8,good
26,1,2,1,1,1,1345,18,6,bad
27,1,2,1,1,0,1101,12,2,good
24,1,2,1,1,3,3016,12,6,good
41,1,2,1,1,1,2712,36,5,bad
47,1,1,1,1,1,731,8,2,good
35,1,3,1,1,0,3780,18,5,good
30,1,2,1,1,1,1602,21,2,good
33,2,2,3,1,1,3966,18,2,bad
36,1,2,1,1,0,4165,18,1,bad
47,1,2,2,0,1,8335,36,2,bad
38,1,2,2,0,4,6681,48,1,good
44,1,2,1,2,0,2375,24,1,good
23,2,2,3,1,1,1216,18,2,bad
29,1,2,3,1,1,11816,45,1,bad
42,2,2,1,0,4,5084,24,6,good
25,2,1,1,1,3,2327,15,6,bad
48,1,2,1,1,1,1082,12,2,bad
21,2,2,1,0,0,886,12,6,good
23,2,1,3,1,0,601,4,5,good
63,1,2,1,1,1,2957,24,2,good
46,1,2,1,1,0,2611,24,6,good
29,1,2,1,1,1,5179,36,5,bad
28,1,1,1,1,0,2993,21,2,good
23,2,2,1,1,0,1943,18,7,bad
50,1,2,1,1,0,1559,24,1,good
47,1,2,1,1,0,3422,18,5,good
35,1,2,1,0,4,3976,21,5,good
68,1,2,3,0,0,6761,18,2,bad
28,1,2,1,1,0,1249,24,2,good
59,1,2,1,1,1,1364,9,6,good
57,1,1,1,1,1,709,12,6,bad
33,1,2,3,1,1,2235,20,2,bad
43,1,2,1,0,0,4042,24,2,good
35,1,2,2,1,0,1471,15,6,good
32,1,1,2,1,1,1442,18,2,bad
45,1,2,1,1,0,10875,36,2,good
33,1,2,1,4,0,1474,24,2,good
40,2,2,1,0,0,894,10,4,good
28,1,2,2,1,0,3343,15,5,good
29,2,2,1,1,1,3959,15,2,bad
26,1,2,3,4,0,3577,9,2,good
27,1,2,1,3,0,5804,24,2,good
28,1,2,1,1,0,2169,18,1,bad
35,2,2,1,1,1,2439,24,6,bad
32,1,1,1,3,0,4526,27,5,good
25,1,1,3,1,0,2210,10,5,bad
20,2,2,3,2,0,2221,15,5,good
27,2,2,1,1,1,2389,18,6,good
42,1,2,1,1,0,3331,12,5,good
37,1,2,1,0,0,7409,36,1,good
24,2,2,3,1,1,652,12,5,good
40,2,2,1,2,0,7678,36,5,good
46,1,2,1,1,3,1343,6,2,good
26,1,2,1,4,1,1382,24,1,good
24,2,2,1,0,0,874,15,3,good
29,1,1,1,1,1,3590,12,5,good
40,2,2,1,3,4,1322,11,2,good
36,1,3,2,1,1,1940,18,6,good
28,1,2,1,1,0,3595,36,6,good
27,1,3,2,1,1,1422,9,2,bad
36,1,2,1,0,0,6742,30,6,good
38,1,3,1,1,0,7814,24,2,good
48,1,2,2,0,0,9277,24,2,good
36,1,2,1,0,4,2181,30,2,good
65,2,0,1,1,0,1098,18,6,good
43,1,2,1,1,4,4057,24,5,bad
53,2,2,1,1,1,795,12,4,bad
34,1,2,1,0,4,2825,24,1,good
23,1,2,1,1,4,15672,48,1,bad
34,1,3,1,1,0,6614,36,2,good
40,1,2,3,0,0,7824,28,2,good
43,1,3,1,1,1,2442,27,1,good
46,1,2,1,1,0,1829,15,6,good
38,1,1,1,1,1,2171,12,2,good
34,1,2,1,1,4,5800,36,2,good
29,1,2,1,0,0,1169,18,6,good
31,1,3,1,0,0,8947,36,2,good
28,2,3,3,1,1,2606,21,6,good
35,2,2,1,3,0,1592,12,5,good
33,2,1,3,0,0,2186,15,5,good
42,1,2,1,1,1,4153,18,5,bad
43,1,2,3,1,1,2625,16,2,bad
44,1,2,1,0,0,3485,20,2,good
42,1,2,2,0,0,10477,36,2,good
40,1,2,3,0,0,1386,15,6,good
36,1,3,1,1,0,1278,24,6,good
20,1,3,3,1,1,1107,12,6,good
24,1,1,1,0,1,3763,21,2,good
27,1,2,1,0,4,3711,36,4,good
46,2,1,1,1,0,3594,15,2,good
33,2,1,1,0,4,3195,9,2,good
34,2,2,1,1,0,4454,36,6,good
25,2,1,1,1,4,4736,24,5,bad
25,2,2,1,0,4,2991,30,6,good
28,1,2,1,3,0,2142,11,1,good
31,1,2,3,1,1,3161,24,1,bad
32,2,3,1,1,4,18424,48,8,bad
32,1,2,1,4,0,2848,10,2,good
68,1,3,1,1,1,14896,6,2,bad
33,1,2,1,4,1,2359,24,5,bad
39,1,3,3,1,1,3345,24,5,bad
28,2,2,1,1,0,1817,18,5,good
37,1,3,1,2,0,12749,48,6,good
22,2,2,3,1,1,1366,9,6,bad
30,1,2,3,1,4,2002,12,2,good
55,1,2,1,1,1,6872,24,5,bad
46,1,2,1,1,1,697,12,2,bad
21,2,2,3,1,1,1049,18,5,good
39,1,2,2,1,1,10297,48,2,bad
58,1,2,1,0,0,1867,30,6,good
43,1,1,1,1,1,1344,12,2,good
24,1,1,1,1,1,1747,24,5,good
22,2,2,1,1,4,1670,9,6,bad
30,1,2,1,1,0,1224,9,2,good
42,1,2,1,2,0,522,12,6,good
23,2,2,1,1,1,1498,12,6,good
30,1,3,1,4,4,1919,30,6,bad
28,2,1,1,1,3,745,9,6,bad
30,1,3,3,1,4,2063,6,6,good
42,1,2,2,1,4,6288,60,4,bad
46,1,3,1,0,0,6842,24,2,good
45,1,3,1,0,0,3527,12,2,good
31,1,1,1,1,0,1546,10,2,good
31,1,2,1,0,0,929,24,5,good
42,1,1,1,1,0,1455,4,2,good
46,2,2,3,1,1,1845,15,5,good
30,2,2,1,2,4,8358,48,2,good
30,1,2,2,2,1,3349,24,5,bad
38,1,3,1,0,0,2859,12,2,good
43,1,1,1,1,0,1533,18,5,bad
31,1,2,1,4,0,3621,24,6,bad
40,1,0,1,1,4,3590,18,1,good
24,1,2,1,1,1,2145,36,1,bad
28,2,2,3,2,4,4113,24,2,bad
26,2,3,1,1,0,10974,36,5,bad
29,2,2,1,1,1,1893,12,2,good
57,2,3,3,3,1,1231,24,6,good
49,1,1,1,0,3,3656,30,6,good
37,1,1,1,1,4,1154,9,6,good
45,1,1,1,1,1,4006,28,2,bad
30,1,2,2,4,4,3069,24,5,good
30,1,2,3,1,0,1740,6,6,good
47,1,2,1,1,4,2353,21,2,good
29,1,2,1,0,0,3556,15,2,good
35,1,2,1,2,0,2397,24,6,bad
22,1,1,1,1,4,454,6,7,good
26,2,2,1,0,4,1715,30,6,good
23,1,1,1,2,4,2520,27,6,bad
54,2,3,3,1,0,3568,15,6,good
29,1,2,3,0,0,7166,42,6,good
40,1,1,1,1,1,3939,11,2,good
22,1,2,1,4,4,1514,15,7,good
43,1,1,1,1,0,7393,24,2,good
29,2,0,3,1,1,1193,24,2,bad
36,1,2,3,1,1,7297,60,1,bad
33,2,2,1,1,0,2831,30,6,good
57,2,1,1,2,3,1258,24,6,good
64,2,2,1,1,4,753,6,6,good
42,1,2,1,0,4,2427,18,1,good
47,1,1,1,1,0,2538,24,2,bad
25,1,2,3,4,4,1264,15,2,bad
49,1,2,1,1,4,8386,30,5,bad
33,1,3,3,1,0,4844,48,1,bad
28,2,3,1,4,3,2923,21,2,good
26,1,2,1,1,1,8229,36,2,bad
30,1,1,1,1,0,2028,24,5,good
25,2,2,3,1,1,1433,15,5,good
33,1,2,1,1,3,6289,42,1,good
64,2,2,1,4,0,1409,13,6,good
29,1,3,2,1,1,6579,24,2,good
48,1,1,1,1,4,1743,24,6,good
37,1,1,1,0,0,3565,12,4,good
34,1,1,1,4,0,1569,15,6,good
23,1,1,3,0,1,1936,18,6,good
30,1,3,1,1,1,3959,36,5,good
50,1,2,1,0,0,2390,12,2,good
31,2,1,1,1,0,1736,12,5,good
40,1,3,1,1,1,3857,30,2,good
38,1,2,1,1,0,804,12,6,good
23,1,2,2,1,1,1845,45,6,bad
27,1,2,1,4,4,4576,45,2,good
